-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
 -----------------------------------------------------------------------------------------------------
     300.0000      17.6715       -24.9838      -44.3964      64.7088       0.0353        -0.1293       
     600.0000      30.8452       -17.6324      -66.3300      81.1627       7.3867        -22.0628      
     800.0000      37.0051       -10.8078      -83.5572      90.9368       14.2113       -39.2901      
     1000.0000     41.7838       -2.9286       -102.6368     99.7082       22.0905       -58.3696      
     1200.0000     45.0978       5.7701        -123.3844     107.6288      30.7892       -79.1173      
     1400.0000     47.8212       15.0712       -145.6379     114.7922      40.0902       -101.3708     
     1600.0000     50.0320       24.8644       -169.2595     121.3275      49.8835       -124.9924     
     1800.0000     51.8026       35.0547       -194.1332     127.3266      60.0737       -149.8661     
     2000.0000     53.2002       45.5606       -220.1592     132.8599      70.5797       -175.8920     
     2200.0000     54.2865       56.3140       -247.2499     137.9836      81.3330       -202.9828     
     2400.0000     55.1177       67.2582       -275.3284     142.7444      92.2773       -231.0613     
     2600.0000     55.7449       78.3475       -304.3262     147.1822      103.3665      -260.0590     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC4H10
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
   Formation Enthalpy at 298K =          -30.0625 kcal/mol
   Formation Free Gibbs Energy at 298K = -52.1174 kcal/mol
   Molecular Weight =                    58.1240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      23.6860       -30.0153      -52.2656      74.1676       0.0472        -0.1482       
     600.0000      40.4553       -20.2539      -77.8832      96.0488       9.8086        -25.7658      
     800.0000      48.3997       -11.3269      -98.3946      108.8346      18.7356       -46.2772      
     1000.0000     54.3400       -1.0297       -121.3285     120.2988      29.0328       -69.2111      
     1200.0000     58.3779       10.2540       -146.4347     130.5740      40.3165       -94.3173      
     1400.0000     61.7401       22.2764       -173.4906     139.8336      52.3389       -121.3732     
     1600.0000     64.5064       34.9104       -202.3131     148.2646      64.9729       -150.1957     
     1800.0000     66.7516       48.0442       -232.7500     155.9968      78.1068       -180.6326     
     2000.0000     68.5461       61.5810       -264.6716     163.1263      91.6435       -212.5543     
     2200.0000     69.9558       75.4370       -297.9653     169.7284      105.4996      -245.8480     
     2400.0000     71.0419       89.5417       -332.5319     175.8640      119.6042      -280.4145     
     2600.0000     71.8611       103.8360      -368.2833     181.5844      133.8986      -316.1659     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC5H12
 ====================================================================================================
   Elemental Composition:
     C 5.0000
     H 12.0000
   Formation Enthalpy at 298K =          -35.0967 kcal/mol
   Formation Free Gibbs Energy at 298K = -59.9432 kcal/mol
   Molecular Weight =                    72.1510 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      28.8189       -35.0392      -60.1101      83.5697       0.0575        -0.1669       
     600.0000      49.5711       -23.0793      -89.3028      110.3725      12.0174       -29.3596      
     800.0000      59.3301       -12.1412      -112.9721     126.0386      22.9555       -53.0289      
     1000.0000     66.5352       0.4823        -139.6107     140.0930      35.5790       -79.6675      
     1200.0000     71.3996       14.2884       -168.9099     152.6652      49.3850       -108.9667     
     1400.0000     75.5543       28.9949       -200.5940     163.9921      64.0915       -140.6509     
     1600.0000     79.0824       44.4683       -234.4401     174.3178      79.5650       -174.4970     
     1800.0000     82.0614       60.5913       -270.2656     183.8094      95.6879       -210.3225     
     2000.0000     84.5632       77.2611       -307.9164     192.5888      112.3578      -247.9733     
     2200.0000     86.6539       94.3892       -347.2599     200.7496      129.4858      -287.3168     
     2400.0000     88.3941       111.8993      -388.1800     208.3664      146.9960      -328.2369     
     2600.0000     89.8387       129.7271      -430.5743     215.5005      164.8238      -370.6312     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC6H14
 ====================================================================================================
   Elemental Composition:
     C 6.0000
     H 14.0000
   Formation Enthalpy at 298K =          -40.0591 kcal/mol
   Formation Free Gibbs Energy at 298K = -67.8742 kcal/mol
   Molecular Weight =                    86.1780 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      34.7525       -39.9898      -68.0611      93.5710       0.0693        -0.1869       
     600.0000      59.2778       -25.6468      -101.0840     125.7287      14.4123       -33.2098      
     800.0000      70.7486       -12.5860      -128.1350     144.4363      27.4731       -60.2608      
     1000.0000     79.1004       2.4444        -158.7269     161.1713      42.5035       -90.8527      
     1200.0000     85.1612       18.9011       -192.4868     176.1566      58.9602       -124.6126     
     1400.0000     89.8972       36.4203       -229.0900     189.6502      76.4794       -161.2159     
     1600.0000     94.4126       54.8450       -268.2669     201.9449      94.9041       -200.3927     
     1800.0000     99.9501       74.2532       -309.8098     213.3683      114.3122      -241.9357     
     2000.0000     107.8902      94.9849       -353.5802     224.2826      135.0440      -285.7060     
     2200.0000     119.7519      117.6704      -399.5153     235.0844      157.7295      -331.6411     
     2400.0000     137.1923      143.2573      -447.6352     246.2052      183.3164      -379.7610     
     2600.0000     162.0065      173.0386      -498.0496     258.1108      213.0977      -430.1754     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC7H16
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 16.0000
   Formation Enthalpy at 298K =          -45.0105 kcal/mol
   Formation Free Gibbs Energy at 298K = -75.4781 kcal/mol
   Molecular Weight =                    100.2050 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      39.7974       -44.9312      -75.6828      102.5056      0.0794        -0.2047       
     600.0000      68.2414       -28.4404      -112.1218     139.4689      16.5701       -36.6437      
     800.0000      81.4823       -13.4013      -142.2093     161.0100      31.6092       -66.7312      
     1000.0000     91.1739       3.9157        -176.3749     180.2907      48.9263       -100.8968     
     1200.0000     97.6399       22.8134       -214.1866     197.5001      67.8240       -138.7085     
     1400.0000     103.1819      42.9101       -255.2600     212.9787      87.9207       -179.7819     
     1600.0000     107.9063      64.0317       -299.2861     227.0736      109.0422      -223.8080     
     1800.0000     111.9125      86.0248       -346.0131     240.0210      131.0353      -270.5350     
     2000.0000     115.2927      108.7550      -395.2295     251.9923      153.7655      -319.7514     
     2200.0000     118.1319      132.1058      -446.7537     263.1180      177.1163      -371.2756     
     2400.0000     120.5082      155.9769      -500.4273     273.5018      200.9875      -424.9492     
     2600.0000     122.4921      180.2829      -556.1106     283.2283      225.2935      -480.6325     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC8H18
 ====================================================================================================
   Elemental Composition:
     C 8.0000
     H 18.0000
   Formation Enthalpy at 298K =          -50.0703 kcal/mol
   Formation Free Gibbs Energy at 298K = -83.6255 kcal/mol
   Molecular Weight =                    114.2320 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      45.9181       -49.9787      -83.8510      112.9077      0.0916        -0.2255       
     600.0000      78.3254       -31.0086      -124.2730     155.4407      19.0617       -40.6475      
     800.0000      93.2494       -13.7735      -157.8766     180.1289      36.2968       -74.2511      
     1000.0000     104.0623      6.0169        -196.1476     202.1645      56.0872       -112.5221     
     1200.0000     111.9078      27.6534       -238.5868     221.8669      77.7237       -154.9613     
     1400.0000     118.0064      50.6634       -284.7624     239.5898      100.7337      -201.1368     
     1600.0000     123.6553      74.8258       -334.3161     255.7137      124.8961      -250.6906     
     1800.0000     130.2287      100.1870      -386.9681     270.6417      150.2572      -303.3425     
     2000.0000     139.1774      127.0755      -442.5213     284.7984      177.1458      -358.8958     
     2200.0000     152.0289      156.1179      -500.8656     298.6289      206.1882      -417.2401     
     2400.0000     170.3877      188.2540      -561.9821     312.5984      238.3243      -478.3565     
     2600.0000     195.9349      224.7521      -625.9465     327.1918      274.8223      -542.3210     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC9H20
 ====================================================================================================
   Elemental Composition:
     C 9.0000
     H 20.0000
   Formation Enthalpy at 298K =          -55.0759 kcal/mol
   Formation Free Gibbs Energy at 298K = -91.5012 kcal/mol
   Molecular Weight =                    128.2590 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      51.5009       -54.9732      -91.7460      122.5761      0.1027        -0.2448       
     600.0000      87.8492       -33.6895      -135.8676     170.2967      21.3863       -44.3664      
     800.0000      104.4998      -14.3672      -172.7474     197.9752      40.7086       -81.2462      
     1000.0000     116.5432      7.8031        -214.8580     222.6611      62.8790       -123.3568     
     1200.0000     125.2811      32.0296       -261.6368     244.7220      87.1054       -170.1356     
     1400.0000     132.0609      57.7849       -312.5985     264.5596      112.8608      -221.0973     
     1600.0000     138.2767      84.8162       -367.3406     282.5981      139.8921      -275.8395     
     1800.0000     145.3680      113.1539      -425.5472     299.2784      168.2297      -334.0460     
     2000.0000     154.8209      143.1208      -486.9918     315.0563      198.1967      -395.4906     
     2200.0000     168.1674      175.3417      -551.5408     330.4011      230.4176      -460.0396     
     2400.0000     186.9854      210.7524      -619.1555     345.7950      265.8283      -527.6543     
     2600.0000     212.8991      250.6088      -689.8950     361.7322      305.6847      -598.3938     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC10H22
 ====================================================================================================
   Elemental Composition:
     C 10.0000
     H 22.0000
   Formation Enthalpy at 298K =          -59.8484 kcal/mol
   Formation Free Gibbs Energy at 298K = -100.4216 kcal/mol
   Molecular Weight =                    142.2860 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      56.2983       -59.7361      -100.6943     136.5273      0.1123        -0.2727       
     600.0000      96.2673       -36.4223      -149.6990     188.7944      23.4261       -49.2773      
     800.0000      114.6378      -15.2397      -190.5493     219.1370      44.6087       -90.1277      
     1000.0000     128.1958      9.1125        -237.1385     246.2510      68.9609       -136.7168     
     1200.0000     138.2132      35.8031       -288.8624     270.5546      95.6515       -188.4408     
     1400.0000     145.6966      64.2306       -345.1999     292.4503      124.0790      -244.7782     
     1600.0000     151.2751      93.9460       -405.7048     312.2817      153.7944      -305.2831     
     1800.0000     155.8335      124.6726      -469.9967     330.3718      184.5210      -369.5750     
     2000.0000     159.5169      156.2211      -537.7554     346.9883      216.0695      -437.3338     
     2200.0000     162.4594      188.4300      -608.7075     362.3352      248.2784      -508.2858     
     2400.0000     164.7840      221.1637      -682.6157     376.5748      281.0121      -582.1941     
     2600.0000     166.6027      254.3099      -759.2724     389.8394      314.1583      -658.8508     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC11H24
 ====================================================================================================
   Elemental Composition:
     C 11.0000
     H 24.0000
   Formation Enthalpy at 298K =          -65.0870 kcal/mol
   Formation Free Gibbs Energy at 298K = -107.2525 kcal/mol
   Molecular Weight =                    156.3130 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      62.6664       -64.9621      -107.5359     141.9129      0.1250        -0.2834       
     600.0000      106.8968      -39.0514      -159.0566     200.0087      26.0357       -51.8041      
     800.0000      127.0006      -15.5547      -202.4890     233.6678      49.5323       -95.2365      
     1000.0000     141.5051      11.3756       -252.2787     263.6544      76.4627       -145.0262     
     1200.0000     152.0276      40.7819       -307.7368     290.4322      105.8689      -200.4842     
     1400.0000     160.1701      72.0281       -368.2708     314.4992      137.1151      -261.0183     
     1600.0000     167.5194      104.7971      -433.3898     336.3668      169.8841      -326.1373     
     1800.0000     175.6467      139.0877      -502.7054     356.5517      204.1747      -395.4529     
     2000.0000     186.1081      175.2114      -575.9329     375.5721      240.2984      -468.6803     
     2200.0000     200.4443      213.7893      -652.8911     393.9456      278.8763      -545.6386     
     2400.0000     220.1808      255.7492      -733.5024     412.1882      320.8362      -626.2499     
     2600.0000     246.8274      302.3223      -817.7919     430.8132      367.4094      -710.5394     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC12H26
 ====================================================================================================
   Elemental Composition:
     C 12.0000
     H 26.0000
   Formation Enthalpy at 298K =          -69.7100 kcal/mol
   Formation Free Gibbs Energy at 298K = -115.8960 kcal/mol
   Molecular Weight =                    170.3400 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      67.2623       -69.5759      -116.2064     155.4349      0.1341        -0.3104       
     600.0000      114.9590      -41.7250      -172.4504     217.8758      27.9851       -56.5545      
     800.0000      136.7892      -16.4395      -219.7164     254.0961      53.2705       -103.8204     
     1000.0000     152.8539      12.6070       -273.8301     286.4372      82.3171       -157.9342     
     1200.0000     164.6994      44.4214       -334.0665     315.4066      114.1315      -218.1706     
     1400.0000     173.5432      78.2887       -399.8007     341.4924      147.9987      -283.9047     
     1600.0000     180.1386      113.6784      -470.4989     365.1108      183.3885      -354.6029     
     1800.0000     185.5295      150.2639      -545.7067     386.6503      219.9739      -429.8107     
     2000.0000     189.8871      187.8214      -625.0419     406.4317      257.5314      -509.1460     
     2200.0000     193.3698      226.1604      -708.1785     424.6995      295.8704      -592.2826     
     2400.0000     196.1226      265.1207      -794.8338     441.6477      334.8307      -678.9379     
     2600.0000     198.2776      304.5696      -884.7602     457.4346      374.2796      -768.8643     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H4
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 4.0000
   Formation Enthalpy at 298K =          12.5449 kcal/mol
   Formation Free Gibbs Energy at 298K = -3.0728 kcal/mol
   Molecular Weight =                    28.0540 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      10.2892       12.5654       -3.1777       52.4772       0.0205        -0.1049       
     600.0000      16.9529       16.6763       -20.3469      61.7053       4.1314        -17.2741      
     800.0000      20.0514       20.3992       -33.2320      67.0390       7.8543        -30.1592      
     1000.0000     22.4874       24.6481       -47.1216      71.7697       12.1032       -44.0488      
     1200.0000     24.1883       29.3210       -61.9088      76.0249       16.7761       -58.8360      
     1400.0000     25.5899       34.3035       -77.5038      79.8623       21.7586       -74.4310      
     1600.0000     26.7312       39.5396       -93.8309      83.3566       26.9947       -90.7581      
     1800.0000     27.6487       44.9811       -110.8271     86.5601       32.4362       -107.7542     
     2000.0000     28.3763       50.5865       -128.4382     89.5123       38.0416       -125.3654     
     2200.0000     28.9450       56.3210       -146.6173     92.2447       43.7761       -143.5445     
     2400.0000     29.3832       62.1558       -165.3231     94.7829       49.6109       -162.2503     
     2600.0000     29.7165       68.0673       -184.5190     97.1486       55.5224       -181.4462     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C3H6
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 6.0000
   Formation Enthalpy at 298K =          6.2443 kcal/mol
   Formation Free Gibbs Energy at 298K = -12.7244 kcal/mol
   Molecular Weight =                    42.0810 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      15.2881       6.2748        -12.8518      63.7555       0.0305        -0.1274       
     600.0000      25.4493       12.4910       -34.1374      77.7139       6.2466        -21.4130      
     800.0000      30.5976       18.1116       -50.4989      85.7632       11.8673       -37.7745      
     1000.0000     34.4393       24.6460       -68.3916      93.0377       18.4017       -55.6672      
     1200.0000     36.9702       31.7947       -87.6622      99.5474       25.5504       -74.9378      
     1400.0000     39.0684       39.4053       -108.1675     105.4091      33.1610       -95.4431      
     1600.0000     40.7892       47.3969       -129.7907     110.7422      41.1526       -117.0663     
     1800.0000     42.1842       55.6993       -152.4348     115.6300      49.4550       -139.7103     
     2000.0000     43.3012       64.2521       -176.0172     120.1346      58.0078       -163.2927     
     2200.0000     44.1843       73.0042       -200.4663     124.3048      66.7599       -187.7419     
     2400.0000     44.8738       81.9129       -225.7195     128.1801      75.6686       -212.9950     
     2600.0000     45.4063       90.9432       -251.7210     131.7939      84.6989       -238.9965     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C4H8-1
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 8.0000
   Formation Enthalpy at 298K =          -0.1131 kcal/mol
   Formation Free Gibbs Energy at 298K = -22.0458 kcal/mol
   Molecular Weight =                    56.1080 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      20.5895       -0.0720       -22.1931      73.7370       0.0411        -0.1473       
     600.0000      35.2314       8.4586        -47.2581      92.8612       8.5717        -25.2123      
     800.0000      41.9768       16.2127       -66.9619      103.9682      16.3258       -44.9161      
     1000.0000     46.9945       25.1344       -88.7671      113.9016      25.2475       -66.7213      
     1200.0000     50.7487       34.9265       -112.4547     122.8177      35.0396       -90.4089      
     1400.0000     53.5875       45.3736       -137.8363     130.8642      45.4866       -115.7905     
     1600.0000     55.6867       56.3079       -164.7504     138.1614      56.4210       -142.7046     
     1800.0000     57.3996       67.6225       -193.0585     144.8228      67.7356       -171.0128     
     2000.0000     58.7814       79.2457       -222.6436     150.9447      79.3588       -200.5978     
     2200.0000     59.8830       91.1164       -253.4054     156.6008      91.2295       -231.3596     
     2400.0000     60.7511       103.1833      -285.2568     161.8501      103.2964      -263.2110     
     2600.0000     61.4283       115.4041      -318.1215     166.7406      115.5172      -296.0757     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC5H10
 ====================================================================================================
   Elemental Composition:
     C 5.0000
     H 10.0000
   Formation Enthalpy at 298K =          -7.9838 kcal/mol
   Formation Free Gibbs Energy at 298K = -32.4726 kcal/mol
   Molecular Weight =                    70.1350 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      25.8112       -7.9324       -32.6371      82.3492       0.0515        -0.1645       
     600.0000      44.0071       2.7248        -61.0220      106.2447      10.7087       -28.5494      
     800.0000      52.5425       12.4204       -83.6853      120.1320      20.4042       -51.2126      
     1000.0000     58.9332       23.5990       -108.9787     132.5778      31.5829       -76.5061      
     1200.0000     63.7044       35.8859       -136.6325     143.7653      43.8697       -104.1599     
     1400.0000     67.2799       49.0020       -166.4125     153.8675      56.9858       -133.9399     
     1600.0000     69.9357       62.7323       -198.1168     163.0307      70.7161       -165.6442     
     1800.0000     72.1031       76.9437       -231.5718     171.3975      84.9275       -199.0992     
     2000.0000     73.8519       91.5456       -266.6308     179.0882      99.5295       -234.1582     
     2200.0000     75.2464       106.4608      -303.1682     186.1950      114.4447      -270.6956     
     2400.0000     76.3457       121.6245      -341.0748     192.7914      129.6084      -308.6022     
     2600.0000     77.2036       136.9830      -380.2548     198.9376      144.9669      -347.7822     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC6H12
 ====================================================================================================
   Elemental Composition:
     C 6.0000
     H 12.0000
   Formation Enthalpy at 298K =          -9.9673 kcal/mol
   Formation Free Gibbs Energy at 298K = -37.3679 kcal/mol
   Molecular Weight =                    84.1620 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      31.7795       -9.9039       -37.5520      92.1604       0.0634        -0.1841       
     600.0000      53.8637       3.1440        -69.7089      121.4216      13.1113       -32.3410      
     800.0000      64.0413       14.9914       -95.7228      138.3927      24.9587       -58.3549      
     1000.0000     71.5333       28.5787       -124.9427     153.5213      38.5459       -87.5747      
     1200.0000     76.4986       43.3930       -157.0219     167.0124      53.3603       -119.6540     
     1400.0000     80.7981       59.1337       -191.6568     179.1361      69.1010       -154.2889     
     1600.0000     84.4456       75.6688       -228.6039     190.1704      85.6360       -191.2360     
     1800.0000     87.4675       92.8702       -267.6646     200.2971      102.8375      -230.2967     
     2000.0000     89.9022       110.6166      -308.6708     209.6437      120.5839      -271.3029     
     2200.0000     91.8004       128.7953      -351.4765     218.3054      138.7626      -314.1086     
     2400.0000     93.2249       147.3052      -395.9524     226.3573      157.2724      -358.5845     
     2600.0000     94.2509       166.0587      -441.9830     233.8622      176.0260      -404.6151     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC7H14
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 14.0000
   Formation Enthalpy at 298K =          -17.8455 kcal/mol
   Formation Free Gibbs Energy at 298K = -47.9469 kcal/mol
   Molecular Weight =                    98.1890 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      36.7485       -17.7722      -48.1492      101.2567      0.0733        -0.2023       
     600.0000      62.7104       -2.5784       -83.7723      135.3232      15.2671       -35.8254      
     800.0000      74.7052       11.2225       -112.8509     155.0917      29.0679       -64.9040      
     1000.0000     83.5969       27.0972       -145.6694     172.7665      44.9427       -97.7224      
     1200.0000     90.1928       44.5085       -181.8362     188.6206      62.3540       -133.8892     
     1400.0000     95.1301       63.0649       -221.0136     202.9132      80.9104       -173.0666     
     1600.0000     98.8041       82.4704       -262.9119     215.8639      100.3159      -214.9650     
     1800.0000     101.8049      102.5417      -307.2837     227.6808      120.3872      -259.3367     
     2000.0000     104.2284      123.1539      -353.9203     238.5371      140.9993      -305.9733     
     2200.0000     106.1633      144.2005      -402.6434     248.5654      162.0460      -354.6964     
     2400.0000     107.6908      165.5920      -453.2983     257.8710      183.4375      -405.3514     
     2600.0000     108.8848      187.2546      -505.7494     266.5400      205.1001      -457.8024     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC8H16
 ====================================================================================================
   Elemental Composition:
     C 8.0000
     H 16.0000
   Formation Enthalpy at 298K =          -30.0951 kcal/mol
   Formation Free Gibbs Energy at 298K = -69.0776 kcal/mol
   Molecular Weight =                    112.2160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      54.1108       -29.9871      -69.3396      131.1747      0.1079        -0.2620       
     600.0000      91.9434       -7.6708       -116.4040     181.2220      22.4243       -47.3264      
     800.0000      109.1340      12.5283       -155.5981     210.1580      42.6233       -86.5205      
     1000.0000     121.5419      35.6640       -200.2554     235.9195      65.7591       -131.1779     
     1200.0000     130.5449      60.9181       -249.7815     258.9164      91.0132       -180.7040     
     1400.0000     137.4938      87.7451       -303.6664     279.5796      117.8401      -234.5888     
     1600.0000     143.7130      115.8670      -361.4869     298.3462      145.9621      -292.4094     
     1800.0000     150.4999      145.2682      -422.9076     315.6532      175.3633      -353.8300     
     2000.0000     159.1253      176.1896      -487.6799     331.9348      206.2847      -418.6023     
     2200.0000     170.8333      209.1239      -555.6418     347.6208      239.2190      -486.5642     
     2400.0000     186.8411      244.8097      -626.7168     363.1360      274.9047      -557.6393     
     2600.0000     208.3395      284.2265      -700.9128     378.8997      314.3215      -631.8352     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC9H18
 ====================================================================================================
   Elemental Composition:
     C 9.0000
     H 18.0000
   Formation Enthalpy at 298K =          -35.1006 kcal/mol
   Formation Free Gibbs Energy at 298K = -76.9532 kcal/mol
   Molecular Weight =                    126.2430 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      59.6936       -34.9816      -77.2345      140.8431      0.1190        -0.2813       
     600.0000      101.4672      -10.3517      -127.9985     196.0780      24.7489       -51.0453      
     800.0000      120.3844      11.9345       -170.4689     228.0043      47.0352       -93.5157      
     1000.0000     134.0228      37.4503       -218.9658     256.4161      72.5509       -142.0126     
     1200.0000     143.9181      65.2943       -272.8315     281.7715      100.3949      -195.8783     
     1400.0000     151.5484      94.8667       -331.5026     304.5494      129.9673      -254.5493     
     1600.0000     158.3344      125.8575      -394.5115     325.2306      160.9581      -317.5583     
     1800.0000     165.6392      158.2351      -461.4867     344.2899      193.3358      -384.5335     
     2000.0000     174.7689      192.2349      -532.1504     362.1927      227.3356      -455.1972     
     2200.0000     186.9718      228.3477      -606.3170     379.3930      263.4483      -529.3637     
     2400.0000     203.4388      267.3081      -683.8903     396.3326      302.4087      -606.9370     
     2600.0000     225.3037      310.0832      -764.8613     413.4402      345.1838      -687.9080     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC10H20
 ====================================================================================================
   Elemental Composition:
     C 10.0000
     H 20.0000
   Formation Enthalpy at 298K =          -32.4679 kcal/mol
